,nombre_partido,ano,Unnamed:0,codigo_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
92,MOVIMIENTO COMPROMISO CIVICO CRISTIANO C4,1994.0,130.0,19920002.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
93,MOVIMIENTO COMPROMISO CIVICO CRISTIANO C4,1998.0,114.0,19920002.0,0.0,1.0,1.0,4.987601680383357e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
94,MOVIMIENTO COMPROMISO CIVICO CRISTIANO C4,2002.0,129.0,19920002.0,65294.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
95,MOVIMIENTO CONSERVATISMO INDEPENDIENTE,1991.0,19.0,19920004.0,0.0,1.0,1.0,1.6914696786259537e-06,0.0725190839694656,0.242327578554944,0.0,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
96,MOVIMIENTO CONSERVATISMO INDEPENDIENTE,1994.0,116.0,19920004.0,0.0,1.0,1.0,3.902552476795687e-24,0.0038167938931296,0.0038167938931296,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
97,MOVIMIENTO CONSERVATISMO INDEPENDIENTE,1998.0,163.0,19920004.0,0.0,1.0,1.0,1.171881444102646e-05,0.0432569974554706,0.2519856785716623,0.0024483917686807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
98,MOVIMIENTO CONSERVATISMO INDEPENDIENTE,2002.0,137.0,19920004.0,0.0,1.0,0.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
99,MOVIMIENTO CONVERGENCIA CIUDADANA,2002.0,145.66666666666666,19970002.0,27351.0,1.0,1.0,6.968146425400276e-18,0.0074906367041198,0.0074906367041198,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
100,MOVIMIENTO CONVERGENCIA CIUDADANA,2006.0,133.13333333333333,19970002.0,31827.866666666665,0.9333333333333332,1.0,0.0044686998536699,0.0672043010752688,0.3457342739478905,0.0076469728467163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9156626506024096,0.5863453815261044
101,MOVIMIENTO CONVERGENCIA POPULAR CIVICA,1998.0,194.66666666666663,20000004.0,0.0,0.6666666666666666,1.0,2.9451289162495685e-18,0.0076335877862595,0.0076335877862595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
102,MOVIMIENTO CONVERGENCIA POPULAR CIVICA,2002.0,186.4,20000004.0,11494.8,1.0,1.0,1.9206733654972864e-15,0.0149812734082397,0.0149812734082397,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
103,MOVIMIENTO DE INTEGRACION NACIONAL,1991.0,181.0,19970004.0,0.0,1.0,1.0,3.568781805391961e-21,0.0,0.0,0.0,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
104,MOVIMIENTO DE INTEGRACION NACIONAL,1994.0,177.0,19970004.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
105,MOVIMIENTO DE INTEGRACION NACIONAL,2006.0,108.33333333333331,19970004.0,20552.0,1.0,1.0,0.0263603576497213,0.0658602150537634,0.3550446798440707,0.005765931842577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9156626506024096,0.5863453815261044
106,MOVIMIENTO DE INTEGRACION NACIONAL,2010.0,116.54545454545456,19970004.0,31876.81818181818,0.8181818181818182,0.0,6.477547811394797e-31,0.0378787878787878,0.0378787878787878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
107,MOVIMIENTO DE INTEGRACION REGIONAL - IR,1998.0,114.0,19940018.0,0.0,1.0,1.0,5.107304120712557e-20,0.0038167938931296,0.0038167938931296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
108,MOVIMIENTO DE INTEGRACION REGIONAL - IR,2002.0,135.33333333333334,19940018.0,0.0,1.0,1.0,6.968146425400276e-18,0.0074906367041198,0.0074906367041198,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
109,MOVIMIENTO DE INTEGRACION REGIONAL - IR,2010.0,181.0,19940018.0,0.0,1.0,1.0,2.304977268133593e-67,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
110,MOVIMIENTO DE INTEGRACION REGIONAL - IR,2014.0,164.0,19940018.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9067164179104478,0.6007462686567164
111,MOVIMIENTO DE PARTICIPACION COMUNITARIA - MPC,2002.0,258.0,20000203.0,0.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
112,MOVIMIENTO DE PARTICIPACION POPULAR,1994.0,99.0,19940019.0,0.0,1.0,1.0,1.7808899274533266e-07,0.0229007633587786,0.2125689668203461,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
113,MOVIMIENTO DE PARTICIPACION POPULAR,1998.0,5.0,19940019.0,0.0,1.0,1.0,4.987601680383357e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
114,MOVIMIENTO DE PARTICIPACION POPULAR,2002.0,78.5,19940019.0,0.0,1.0,1.0,8.055887979598735e-20,0.0037453183520599,0.0037453183520599,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
115,MOVIMIENTO DE RENOVACION DEMOCRATICA,1991.0,8.0,19910012.0,0.0,1.0,1.0,3.568781805391961e-21,0.0,0.0,0.0,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
116,MOVIMIENTO DE SALVACION NACIONAL - MSN,1991.0,150.3125,19900001.0,0.0,0.875,1.0,1.1615202836623605e-06,0.0751431297709923,0.2450611850226022,0.0043389312647128,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
117,MOVIMIENTO DE SALVACION NACIONAL - MSN,1994.0,161.0,19900001.0,0.0,1.0,1.0,1.203977766147698e-07,0.020356234096692,0.1988169004863056,0.0021740614001735,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
118,MOVIMIENTO DE SALVACION NACIONAL - MSN,1998.0,148.0,19900001.0,0.0,1.0,1.0,4.182210978499946e-07,0.0133587786259541,0.2075638308220825,0.0032903395630429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
119,MOVIMIENTO DE SALVACION NACIONAL - MSN,2002.0,142.0,19900001.0,26026.666666666668,1.0,0.0,5.702867472617459e-06,0.0249687890137328,0.2049745547082641,0.0020597790180771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
120,MOVIMIENTO DE SALVACION NACIONAL - MSN,2006.0,117.0,19900001.0,21208.0,1.0,0.0,9.71497482376483e-98,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9156626506024096,0.5863453815261044
121,MOVIMIENTO DE UNIDAD NORTEVALLECAUCANA,1991.0,127.66666666666669,19910015.0,0.0,1.0,1.0,2.2448967459057745e-06,0.0432569974554707,0.2548646967593036,0.0043505213787357,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
122,MOVIMIENTO DEFENSA CIUDADANA,1998.0,65.5,19940007.0,0.0,1.0,1.0,5.107304120712557e-20,0.0038167938931296,0.0038167938931296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
123,MOVIMIENTO DEJEN JUGAR AL MORENO,2002.0,43.0,20000326.0,71623.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
124,MOVIMIENTO EQUIPO COLOMBIA,2002.0,111.125,19980010.0,34183.375,0.875,1.0,2.329708237592314e-06,0.0351123595505617,0.1778546508628737,0.0039203521444059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
125,MOVIMIENTO FRENTE SOCIAL Y POLITICO,2002.0,102.0,20010001.0,38689.0,1.0,1.0,6.968146425400276e-18,0.0074906367041198,0.0074906367041198,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
126,MOVIMIENTO FUERZA PROGRESISTA,1991.0,51.0,19940016.0,0.0,0.5,1.0,3.312014930474654e-06,0.0534351145038167,0.2675676039894102,0.0032311018390714,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
127,MOVIMIENTO FUERZA PROGRESISTA,1994.0,134.5,19940016.0,0.0,1.0,1.0,2.6636855183622317e-06,0.0295801526717556,0.2637970690194906,0.0040523597880022,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
128,MOVIMIENTO FUERZA PROGRESISTA,1998.0,135.0,19940016.0,0.0,1.0,1.0,2.3240249812419774e-06,0.0143129770992366,0.2341581166529696,0.0049181724051476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
129,MOVIMIENTO FUERZA PROGRESISTA,2002.0,205.66666666666663,19940016.0,20935.33333333333,1.0,0.0,4.373707526952823e-07,0.0087390761548064,0.175492583257567,0.0035669698591046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
130,MOVIMIENTO GANAS,1998.0,29.0,19970010.0,0.0,1.0,1.0,4.987601680383357e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
131,MOVIMIENTO HUELLA CIUDADANA,2002.0,62.66666666666666,19980007.0,9859.333333333334,0.6666666666666666,1.0,1.3688086536585384e-17,0.0087390761548064,0.0093632958801497,1.8773525574235213e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
132,MOVIMIENTO HUMBERTISTA,1994.0,229.0,19980006.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
133,MOVIMIENTO HUMBERTISTA,1998.0,232.0,19980006.0,0.0,1.0,1.0,4.987601680383357e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
134,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,2002.0,4.0,20000036.0,81061.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
135,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,2006.0,86.0,20000036.0,0.0,1.0,1.0,3.5001885596976833e-81,0.0040322580645161,0.0040322580645161,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9156626506024096,0.5863453815261044
136,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,2010.0,82.75,20000036.0,0.0,1.0,1.0,2.7212368487026303e-46,0.0113636363636363,0.0113636363636363,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
137,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,2014.0,57.333333333333336,20000036.0,9108.666666666666,1.0,0.0,0.0,0.0074906367041198,0.0074906367041198,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9067164179104478,0.6007462686567164
138,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,2018.0,55.5,20000036.0,57525.25,1.0,0.0,5.944472700360809e-194,0.0114068441064638,0.0114068441064638,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909092,0.3143939393939394
139,MOVIMIENTO INDEPENDIENTE FRENTE DE ESPERANZA,1998.0,233.0,20000005.0,0.0,1.0,1.0,5.107304120712557e-20,0.0038167938931296,0.0038167938931296,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
140,MOVIMIENTO INDEPENDIENTE FRENTE DE ESPERANZA,2002.0,125.0,20000005.0,46298.0,1.0,1.0,3.933539052538445e-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
141,MOVIMIENTO INTEGRACION POPULAR - MIPOL,2002.0,162.33333333333334,19970005.0,41311.66666666666,1.0,1.0,0.0327704266662933,0.1248439450686641,0.286817872841787,0.0019476920305768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
142,MOVIMIENTO LIBERALISMO INDEPENDIENTE DE RESTITUCION - LIDER,1991.0,72.5,20000258.0,0.0,1.0,1.0,0.0047980899475317,0.0343511450381679,0.2916403110939827,0.0030417361293907,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
143,MOVIMIENTO LIBERALISMO INDEPENDIENTE DE RESTITUCION - LIDER,1994.0,11.0,20000258.0,0.0,1.0,1.0,9.52771600780197e-28,0.0,0.0,0.0,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139313,0.908745247148289,0.2205323193916349
144,MOVIMIENTO NACIONAL,2002.0,163.57142857142858,19780001.0,50212.28571428572,0.8571428571428571,1.0,0.0083359772873901,0.0679507758159443,0.2943573572312821,0.0151701755243741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.914179104477612,0.4962686567164179
145,MOVIMIENTO NACIONAL,2006.0,61.5,19780001.0,45205.0,1.0,1.0,3.5001885596976833e-81,0.0040322580645161,0.0040322580645161,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9156626506024096,0.5863453815261044
146,MOVIMIENTO NACIONAL CONSERVADOR,1991.0,109.0,19920005.0,0.0,0.0,1.0,0.0006015691297455,0.0725190839694656,0.4157640250518741,0.1194739718457573,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
147,MOVIMIENTO NACIONAL CONSERVADOR,1994.0,112.28571428571428,19920005.0,0.0,0.8571428571428571,1.0,0.0003446987297486,0.0507088331515812,0.3453609061695772,0.0481990817248584,3942935.0,1638210.0,1289981.0,351458.0,396707.0,2165134.0,643956.0,982375.0,538803.0,848354.0,766500.0,67707.0,14147.0,2901675.0,145358.0,54673.0,2154616.0,82377.0,54452.0,63614.0,346585.0,64610.0,639584.0,10497682.0,37.56005373376713,20.62487699665507,8.081345958088653,27.641102102349837,6.092621209139314,0.908745247148289,0.2205323193916349
148,MOVIMIENTO NACIONAL CONSERVADOR,1998.0,125.9090909090909,19920005.0,0.0,0.9090909090909092,1.0,1.755500896724843e-05,0.0742539902845246,0.2619479379490297,0.0036013891322614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9239543726235742,0.3307984790874524
149,MOVIMIENTO NACIONAL PROGRESISTA,1991.0,159.0,19920001.0,0.0,1.0,1.0,3.568781805391961e-21,0.0,0.0,0.0,1465590.0,585298.0,541837.0,82085.0,141240.0,684023.0,159391.0,344994.0,179638.0,284646.0,217615.0,55951.0,11080.0,1555208.0,40554.0,25838.0,1119542.0,153837.0,20014.0,30848.0,164575.0,46038.0,300973.0,4290440.0,34.15943353129283,15.942956899525456,6.634424441316042,36.24821696609206,7.014968161773617,0.9125475285171104,0.3079847908745247
