,Nombres_completos,ano,codigo_partido,nombre_partido,votos,Nuevo_S,Nuevo_P,EGIVECTOR,DEGREECENTR,CLOSESNES,BETWEENES,SECTORSOCIAL,Educación,Salud,Trabajo,Agricultura,Vivienda,JUSTICIAYSEGURIDAD,Justicia,Defensa,PoliciaNacional,INFRAESTRUCTURA,ObrasPúblicas,MinasyEnergía,Comunicaciones,ADMON.DELESTADOYOTROS,Gobierno,RelacionesExteriores,Hacienda,Desarrollo,CongresoNacional,C.G.R,DepartamentosAdmin.*,Otros**,DEUDAPUBLICA(intereses),GASTOTOTAL,INF,SECTOR_SOCIAL_PER,JUSTICIA_SEGURIDAD_PER,INFRAESTRUCTURA_PER,ADMON_ESTADO_PER,DEUDA_PUBLICA_PER,Prop_S,Prop_P
4770,ARMANDO ANTONIO ZABARAIN D ARCE,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,37805.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
5035,ATILANO ALONSO GIRALDO ARBOLEDA,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,22460.0,1,1,0.0019010110385442,0.0871212121212121,0.3065054211843203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
5300,AUGUSTO POSADA SANCHEZ,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,25246.0,1,1,0.1151963309827423,0.2840909090909091,0.3866792929292929,0.0004461853393665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
5565,BAYARDO GILBERTO BETANCOURT PEREZ,2010.0,19970004.0,MOVIMIENTO DE INTEGRACION NACIONAL,22561.0,1,0,6.4775478113947976e-31,0.0378787878787878,0.0378787878787878,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
5830,BERNABE CELIS CARRILLO,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,53552.0,1,1,0.0093491276787124,0.125,0.3762285012285012,0.0051773890233144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
6095,BERNARDO MIGUEL ELIAS VIDAL,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,74247.0,1,1,0.1151963309827423,0.2840909090909091,0.3866792929292929,0.0004461853393665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
6360,BERNER LEON ZAMBRANO ERASO,2010.0,20050002.0,PARTIDO SOCIAL DE UNIDAD NACIONAL - PARTIDO DE LA U,38565.0,1,1,0.1148005150828329,0.2803030303030303,0.3737034777303233,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
6625,BUENAVENTURA LEON LEON,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,37326.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
6890,CAMILO ANDRES ABRIL JAIMES,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,15495.0,1,1,0.0019010110385442,0.0871212121212121,0.3065054211843203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
7155,CAMILO ARMANDO SANCHEZ ORTEGA,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,50329.0,1,0,0.0134072065691193,0.2234848484848484,0.3986765024951182,0.0074140304011094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
7420,CAMILO ERNESTO ROMERO GALEANO,2010.0,20050001.0,POLO DEMOCRATICO ALTERNATIVO,44484.0,1,1,2.24224971476098e-28,0.0454545454545454,0.0454545454545454,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
7685,CARLOS ABRAHAM JIMENEZ LOPEZ,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,22420.0,1,1,0.0019010110385442,0.0871212121212121,0.3065054211843203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
7950,CARLOS ALBERTO BAENA LOPEZ,2010.0,20000036.0,MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA - MIRA,0.0,1,1,2.7212368487026303e-46,0.0113636363636363,0.0113636363636363,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
8215,CARLOS ALBERTO CUENCA CHAUX,2010.0,20030001.0,PARTIDO CAMBIO RADICAL COLOMBIANO,0.0,1,1,0.0019010110385442,0.0871212121212121,0.3065054211843203,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
8480,CARLOS ALBERTO ESCOBAR CORDOBA,2010.0,18480001.0,PARTIDO LIBERAL COLOMBIANO,15002.0,0,0,0.0049598094997379,0.1931818181818181,0.3268991282689912,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
8745,CARLOS ALBERTO ZULUAGA DIAZ,2010.0,18490002.0,PARTIDO CONSERVADOR COLOMBIANO,30892.0,1,0,0.0005561425646718,0.2159090909090909,0.3256246677299309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9320754716981132,0.5245283018867924
